date,accountId,accountCode,accountName,accountType,accountCategory,amount,paymentsOnly
2025-04-30,2ca4f250-a8ee-4cca-a2e9-102b77add633,51100,COS - Consultation,DIRECTCOSTS,Expense,173,TRUE
2025-04-30,53bf8a82-dd82-4437-acc2-81afdf8d02b8,51200,Chemotherapy medication (Purchase),DIRECTCOSTS,Expense,294596.26,TRUE
2025-04-30,1400b29b-d7ad-4a28-9364-28bccf4b2e85,51300,COS - Laboratory,DIRECTCOSTS,Expense,19398.96,TRUE
2025-04-30,ddb2bdb3-76e4-4fc7-a332-a8c25fc21faf,51400,COS - Radiology,DIRECTCOSTS,Expense,16471,TRUE
2025-04-30,a3bee2e7-259f-434e-b814-d2786e7229d3,51600,COS - Consumable,DIRECTCOSTS,Expense,9648.72,TRUE
2025-04-30,b6f96bb7-0eda-452b-8212-4ee5ec77c468,51950,COS - Others,DIRECTCOSTS,Expense,1383.61,TRUE
2025-04-30,206044b4-5d33-4530-a687-d6670efaec6e,51960,COS - Procedure_Outpatient,DIRECTCOSTS,Expense,243,TRUE
2025-04-30,c30a7ad4-3da8-4afc-907e-35bf7f0da0e7,55020,Medicine (Purchase),DIRECTCOSTS,Expense,11460.92,TRUE
2025-04-30,FXGROUPID,,Foreign Currency Gains and Losses,,Expense,294.42,TRUE
2025-04-30,7fb7b548-77bc-4850-8651-5c56ff3d37ce,61050,Charges - Bank & TT,EXPENSE,Expense,429.83,TRUE
2025-04-30,5e5f7de7-77ee-4c71-9a1b-2ee038f630aa,61051,Charges - NETS,EXPENSE,Expense,59.73,TRUE
2025-04-30,142992c6-ec3b-4a39-8aa5-1aa034336f98,61052,Charges - Credit Card,EXPENSE,Expense,4292.72,TRUE
2025-04-30,e18b4a10-e81c-44a9-897d-0d1f2da04de2,61053,Admin Fee - Hospital Charges,EXPENSE,Expense,255.68,TRUE
2025-04-30,207687bc-e8e1-4f45-ad6c-f436ea5848cd,61054,Admin Fee - TPA & Insurance,EXPENSE,Expense,53,TRUE
